,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,depend
704,705,1.0,61.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.3,0.0,0.0,6.4,130.0,4852.8,16.8,12.3,61.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13,1.0,104.0,3.0,58.5,1.0,1.0,0.16,0.24,0
705,706,1.0,42.0,5.0,1.0,2.0,0.0,0.0,3.0,11.2,5.3,3.7,0.0,2.0,0.1,1.0,2.0,1.3,10.0,409.3,10.7,4.9,63.0,1.6,0.6,0.0,0.01,0.665,0.02,0.0,0.66,0.33,0.02,0.0,2.0,1.0,0.1,0.0,1.0,1.0,0.55,0
706,707,0.0,28.0,3.0,1.0,2.0,0.0,1.0,13.0,46.4,14.3,4.85,0.0,1.0,0.0,0.0,4.0,1.6,17.0,230.9,9.4,2.9,48.0,1.65,0.52,0.25,0.25,0.76,0.2,0.38,0.23,0.07,0.11,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
707,708,1.0,48.0,5.0,1.0,2.0,0.0,0.0,4.0,12.9,9.5,3.2,0.0,40.0,15.6,0.0,4.0,1.2,16.0,1010.4,9.4,3.4,224.0,4.3,0.28,0.0,0.01,0.25,0.01,0.0,0.0,0.0,0.31,0.0,42.0,2.0,16.2,1.0,0.0,0.95,0.67,0
708,709,1.0,50.0,4.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,17.3,0.0,0.0,1.0,1.0,198.65,10.0,4.15,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,45.0,1.0,17.8,0.0,2.0,1.0,1.0,0
709,710,1.0,28.0,3.0,1.0,2.0,0.0,1.0,10.0,45.8,17.5,4.5,0.0,8.0,1.2,1.0,4.0,1.5,18.0,694.4,9.5,2.6,170.0,2.6,0.33,0.25,0.07,0.55,0.06,0.0,0.1,0.2,0.78,0.0,8.0,1.0,1.2,0.5,0.0,1.0,1.0,0
710,711,1.0,34.0,3.0,1.0,4.0,0.5,1.0,9.0,74.1,12.8,6.0,0.0,2.0,0.3,0.0,2.0,1.9,10.0,329.6,7.6,3.0,55.0,3.4,0.2,0.25,0.19,0.9,0.22,0.0,0.66,0.22,1.0,0.0,4.5,2.0,6.9,1.0,1.0,0.14,0.04,0
711,712,0.0,25.0,4.0,1.5,1.5,0.0,0.0,11.5,3.2,6.6,1.0,0.0,3.0,0.7,1.0,1.0,1.1,10.0,151.6,7.4,2.0,62.0,2.15,0.3,0.0,0.03,0.3,0.275,0.33,0.33,0.33,0.77,0.0,3.0,1.0,0.7,0.0,1.0,1.0,1.0,0
712,713,0.0,40.0,4.0,2.0,4.0,1.0,6.0,10.0,202.9,25.7,20.2,1.0,70.0,73.3,1.0,1.0,1.2,2.0,173.1,19.6,11.5,12.0,3.5,0.0,1.0,0.87,1.0,1.0,0.0,0.7,0.5,0.75,1.0,73.0,2.0,73.7,1.0,2.0,0.95,0.99,0
713,714,0.0,41.0,4.0,0.0,4.0,0.0,0.0,3.0,4.7,6.6,1.5,0.0,7.5,1.6,1.0,6.0,1.3,19.0,626.4,6.3,2.9,159.0,3.4,0.05,0.0,0.01,0.15,0.035,0.0,0.33,0.0,0.71,0.0,5.0,1.5,1.2,0.0,1.0,1.0,1.0,0
714,715,0.0,63.0,2.0,0.0,2.0,0.0,0.0,3.0,12.1,10.05,4.0,0.0,7.0,4.6,0.0,0.0,1.5,7.0,309.0,7.9,4.8,69.0,2.6,0.565,0.0,0.08,0.37,0.02,0.0,0.0,0.0,0.17,0.0,7.0,1.0,5.6,1.0,0.0,1.0,1.0,0
715,716,0.0,38.0,5.0,0.0,1.0,0.0,0.0,3.5,8.0,9.0,2.6,0.0,5.0,0.7,0.0,1.0,1.3,8.0,78.3,6.9,1.7,34.0,3.5,0.415,0.0,0.08,0.37,0.1,0.66,0.55,0.0,0.12,0.0,5.0,1.0,0.7,1.0,1.0,1.0,1.0,0
